;COD_ESTACION;NOM_ESTACION;FECHA;HORA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
876;3099002;ORIHUELA;2023-01-06;12;3;0,1;8;4;16;37;;;;;;;;258;73;0;1021;511;;13;;3,4;;;;;;;;;;;;;;;;
877;3099002;ORIHUELA;2023-01-06;13;3;0,1;6;3;13;49;;;;;;;;252;63;0;1020;545;;15,9;;2,2;;;;;;;;;;;;;;;;
878;3099002;ORIHUELA;2023-01-06;14;3;0,2;6;3;12;59;;;;;;;;252;56;0;1019;519;;17,8;;1,8;;;;;;;;;;;;;;;;
879;3099002;ORIHUELA;2023-01-06;15;3;0,2;5;2;10;65;;;;;;;;244;53;0;1018;432;;18,9;;0,6;;;;;;;;;;;;;;;;
880;3099002;ORIHUELA;2023-01-06;16;3;0,2;5;2;9;68;;;;;;;;251;52;0;1018;284;;19;;0,4;;;;;;;;;;;;;;;;
881;3099002;ORIHUELA;2023-01-06;17;3;0,2;5;2;10;65;;;;;;;;187;66;0;1018;80;;15,3;;1,4;;;;;;;;;;;;;;;;
882;3099002;ORIHUELA;2023-01-06;18;3;0,2;6;2;11;53;;;;;;;;191;79;0;1019;0;;12,1;;0,6;;;;;;;;;;;;;;;;
883;3099002;ORIHUELA;2023-01-06;19;3;0,2;5;1;9;48;;;;;;;;192;90;0;1019;0;;10,5;;0,6;;;;;;;;;;;;;;;;
884;3099002;ORIHUELA;2023-01-06;20;3;0,2;5;2;10;35;;;;;;;;221;94;0;1019;0;;8,6;;0,3;;;;;;;;;;;;;;;;
885;3099002;ORIHUELA;2023-01-06;21;3;0,1;5;3;11;21;;;;;;;;174;98;0;1019;0;;6,9;;0,4;;;;;;;;;;;;;;;;
886;3099002;ORIHUELA;2023-01-06;22;3;0,1;4;3;9;12;;;;;;;;205;99;0;1020;0;;5,6;;0,3;;;;;;;;;;;;;;;;
887;3099002;ORIHUELA;2023-01-06;23;3;0,1;5;3;10;9;;;;;;;;209;99;0;1020;0;;4,9;;0,3;;;;;;;;;;;;;;;;
888;3099002;ORIHUELA;2023-01-07;0;3;0,1;5;4;12;7;;;;;;;;217;99;0;1020;0;;4,7;;0,3;;;;;;;;;;;;;;;;
889;3099002;ORIHUELA;2023-01-07;1;3;0,1;4;10;16;6;;;;;;;;234;99;0;1019;0;;4,9;;0,4;;;;;;;;;;;;;;;;
890;3099002;ORIHUELA;2023-01-07;2;3;0,1;5;16;23;3;;;;;;;;224;99;0;1019;0;;4,9;;0,4;;;;;;;;;;;;;;;;
891;3099002;ORIHUELA;2023-01-07;3;3;0,1;4;13;20;8;;;;;;;;232;99;0;1019;0;;5,1;;0,4;;;;;;;;;;;;;;;;
892;3099002;ORIHUELA;2023-01-07;4;3;0,1;4;8;13;8;;;;;;;;230;99;0;1018;0;;4,4;;0,5;;;;;;;;;;;;;;;;
893;3099002;ORIHUELA;2023-01-07;5;3;0,1;4;7;14;6;;;;;;;;241;99;0;1018;0;;4;;0,4;;;;;;;;;;;;;;;;
894;3099002;ORIHUELA;2023-01-07;6;3;0,1;5;6;13;8;;;;;;;;230;99;0;1018;0;;3,6;;0,7;;;;;;;;;;;;;;;;
895;3099002;ORIHUELA;2023-01-07;7;3;0,1;4;3;8;11;;;;;;;;244;99;0,2;1019;0;;3,6;;0,5;;;;;;;;;;;;;;;;
896;3099002;ORIHUELA;2023-01-07;8;3;0,1;5;3;10;13;;;;;;;;238;99;0;1019;0;;4;;0,5;;;;;;;;;;;;;;;;
897;3099002;ORIHUELA;2023-01-07;9;3;0,1;6;4;13;20;;;;;;;;255;99;0;1019;33;;6,1;;1,8;;;;;;;;;;;;;;;;
898;3099002;ORIHUELA;2023-01-07;10;3;0,1;7;6;17;28;;;;;;;;254;92;0;1020;276;;9,9;;2,6;;;;;;;;;;;;;;;;
899;3099002;ORIHUELA;2023-01-07;11;3;0,1;8;5;17;36;;;;;;;;257;73;0;1020;430;;12,3;;4,1;;;;;;;;;;;;;;;;
900;3099002;ORIHUELA;2023-01-07;12;3;0,2;8;6;17;42;;;;;;;;253;63;0;1020;521;;14,7;;3,4;;;;;;;;;;;;;;;;
